Hospital:1|66,5,3|1,2,3
Hospital:2|16,77,5|4,5,6,7,8
Hospital:3|68,28,8|9,10,11,12,13,14,15,16
Hospital:4|32,69,8|17,18,19,20,21,22,23,24
Hospital:5|100,72,4|25,26,27,28

Ambulance:1|66,5|4,66,5,115;159,61,4,129;202,59,4,99;183,56,2,136;43,41,5,101;235,40,5,94|66,5
Ambulance:2|66,5|85,66,10,87;196,68,10,132;283,67,13,139;259,77,12,52;194,51,17,142;170,44,15,143|66,5
Ambulance:3|66,5|230,68,2,78;193,74,3,101;130,72,6,136;77,76,9,77;246,41,7,133|66,5
Ambulance:4|16,77|2,16,77,94;32,23,78,68;135,21,84,127;236,18,92,118;79,16,65,121;132,15,49,144|16,77
Ambulance:5|16,77|160,15,78,83;239,18,83,60;261,20,86,146;282,15,92,84;251,15,49,121|16,77
Ambulance:6|16,77|110,14,76,80;208,10,74,61;232,8,83,117;270,1,82,124;177,14,60,143|16,77
Ambulance:7|16,77|143,11,79,147;23,8,80,91;180,4,81,124;253,1,76,67;148,12,35,149|16,77
Ambulance:8|16,77|125,10,85,113;298,11,86,82;199,5,93,131;60,27,91,142;69,24,95,149;65,26,97,141|16,77
Ambulance:9|68,28|1,68,28,115;20,58,27,84;164,53,23,116;111,40,28,77;151,78,29,133|68,28
Ambulance:10|68,28|292,65,27,114;295,62,34,71;8,56,36,110;137,55,41,60;241,80,31,139;184,90,40,133|68,28
Ambulance:11|68,28|103,64,26,126;238,57,25,121;46,52,32,144;100,46,31,64;162,77,45,132|68,28
Ambulance:12|68,28|258,64,30,114;153,49,20,115;223,34,24,132|68,28
Ambulance:13|68,28|169,67,22,131;212,55,20,144;95,44,18,91;256,39,32,127|68,28
Ambulance:14|68,28|129,62,30,104;120,62,41,75;67,60,42,114;40,60,49,95;189,53,44,146|68,28
Ambulance:15|68,28|27,71,34,110;84,71,42,118;221,76,38,72;38,81,40,64|68,28
Ambulance:16|68,28|146,69,19,89;24,84,21,100;290,83,23,69;273,83,26,87;142,96,33,142|68,28
Ambulance:17|32,69|3,32,69,144;167,41,69,133;89,42,78,139;35,46,78,141;260,23,58,110|32,69
Ambulance:18|32,69|25,36,69,114;215,39,72,118;99,50,73,77;56,49,76,69;48,31,44,132|32,69
Ambulance:19|32,69|44,32,74,67;113,34,81,108;52,34,86,136;214,33,86,142;201,45,86,134;141,53,87,135|32,69
Ambulance:20|32,69|97,34,66,90;204,36,60,107;250,36,58,115;203,37,54,83;297,41,96,143;213,39,98,133|32,69
Ambulance:21|32,69|231,37,69,136;134,40,63,95;181,40,59,97;299,32,56,100;49,48,86,136|32,69
Ambulance:22|32,69|22,30,63,104;150,30,57,76;83,29,57,62;264,30,52,108;136,51,59,134;14,53,55,134|32,69
Ambulance:23|32,69|82,39,71,89;54,38,80,107;240,37,84,133;128,40,84,57;121,56,63,142|32,69
Ambulance:24|32,69|114,40,68,89;93,40,61,84;36,43,55,77;101,42,49,120|32,69
Ambulance:25|100,72|5,100,72,129;281,86,63,87;21,80,58,127;168,80,74,145|100,72
Ambulance:26|100,72|285,100,71,88;68,97,58,76;80,97,46,95;280,100,42,121;185,95,93,149|100,72
Ambulance:27|100,72|42,99,77,144;39,99,94,135;6,99,98,78;166,97,98,104;30,77,76,137;154,75,80,135|100,72
Ambulance:28|100,72|102,95,69,115;18,81,69,103;86,82,65,67;28,77,68,137;174,80,80,136|100,72
