Hospital:1|66,5,3|1,2,3
Hospital:2|16,77,5|4,5,6,7,8
Hospital:3|68,28,8|9,10,11,12,13,14,15,16
Hospital:4|32,69,8|17,18,19,20,21,22,23,24
Hospital:5|100,72,4|25,26,27,28

Ambulance:3|66,5|259,77,12,52;245,77,15,62;230,68,2,78;4,66,5,115|66,5
Ambulance:2|66,5|283,67,13,139;246,41,7,133;235,40,5,94;202,59,4,99|66,5
Ambulance:1|66,5|288,93,12,122;216,89,2,93;193,74,3,101;130,72,6,136|66,5
Ambulance:2|66,5|196,68,10,132|66,5
Ambulance:3|66,5|197,52,6,95;106,51,4,95;159,61,4,129;183,56,2,136|66,5
Ambulance:1|66,5|194,51,17,142|66,5
Ambulance:4|16,77|298,11,86,82;261,20,86,146;239,18,83,60;160,15,78,83|16,77
Ambulance:5|16,77|282,15,92,84;253,1,76,67;110,14,76,80;2,16,77,94|16,77
Ambulance:4|16,77|232,8,83,117;180,4,81,124;143,11,79,147;23,8,80,91|16,77
Ambulance:6|16,77|275,3,56,98;236,18,92,118;135,21,84,127|16,77
Ambulance:4|16,77|79,16,65,121|16,77
Ambulance:7|16,77|270,1,82,124;251,15,49,121;148,12,35,149;104,16,55,130|16,77
Ambulance:8|16,77|262,7,27,143;177,14,60,143;132,15,49,144|16,77
Ambulance:5|16,77|199,5,93,131;60,27,91,142|16,77
Ambulance:10|68,28|292,65,27,114;258,64,30,114;256,39,32,127;225,28,30,115|68,28
Ambulance:13|68,28|273,83,26,87;243,87,44,120;209,83,42,87;27,71,34,110|68,28
Ambulance:11|68,28|290,83,23,69;238,57,25,121;169,67,22,131;146,69,19,89|68,28
Ambulance:12|68,28|284,92,31,56;237,97,37,103;188,100,34,112;151,78,29,133|68,28
Ambulance:15|68,28|265,100,31,72;191,90,25,96;103,64,26,126|68,28
Ambulance:14|68,28|271,89,38,104;221,76,38,72;1,68,28,115;84,71,42,118|68,28
Ambulance:16|68,28|263,26,20,133;223,34,24,132;164,53,23,116|68,28
Ambulance:9|68,28|295,62,34,71;241,80,31,139;212,55,20,144;129,62,30,104|68,28
Ambulance:11|68,28|46,52,32,144|68,28
Ambulance:13|68,28|189,53,44,146|68,28
Ambulance:17|32,69|299,32,56,100;250,36,58,115;249,55,60,77;204,36,60,107|32,69
Ambulance:21|32,69|278,50,78,114;248,54,92,124;217,61,85,143;141,53,87,135|32,69
Ambulance:23|32,69|260,23,58,110;231,37,69,136;214,33,86,142;109,35,92,112|32,69
Ambulance:18|32,69|297,41,96,143;224,52,93,119;201,45,86,134;113,34,81,108|32,69
Ambulance:19|32,69|296,26,43,89;215,39,72,118;82,39,71,89;25,36,69,114|32,69
Ambulance:22|32,69|264,30,52,108;240,37,84,133;167,41,69,133;134,40,63,95|32,69
Ambulance:24|32,69|257,56,60,116;229,61,74,103;192,54,80,122;3,32,69,144|32,69
Ambulance:20|32,69|286,57,91,96;213,39,98,133;89,42,78,139;35,46,78,141|32,69
Ambulance:17|32,69|121,56,63,142|32,69
Ambulance:19|32,69|52,34,86,136|32,69
Ambulance:28|100,72|287,100,99,88;285,100,71,88;5,100,72,129;42,99,77,144|100,72
Ambulance:26|100,72|293,99,41,121;280,100,42,121;185,95,93,149|100,72
Ambulance:27|100,72|291,72,78,124;242,83,97,147;176,88,91,131;39,99,94,135|100,72
Ambulance:25|100,72|294,69,68,99;281,86,63,87;102,95,69,115;28,77,68,137|100,72
Ambulance:28|100,72|174,80,80,136;168,80,74,145|100,72
